City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ad dabbah,18.05,30.95,306.03,45,88,7.13,SD,1722896540
83,susuman,62.7833,148.1667,288.75,52,99,3.78,RU,1722896541
84,vorgashor,67.5833,63.95,277.79,76,8,2.58,RU,1722896475
85,klyuchi,52.2667,79.1667,292.1,65,58,2.82,RU,1722896353
86,dengzhou,37.8086,120.7508,298.07,84,74,1.56,CN,1722896545
87,zilair,52.2332,57.4392,291.33,81,100,1.01,RU,1722896546
88,port alfred,-33.5906,26.891,286.63,62,0,3.91,ZA,1722896547
89,devonport,-41.1667,146.35,284.31,99,84,5.28,AU,1722896548
90,talnakh,69.4865,88.3972,281.64,69,38,1.38,RU,1722896549
91,rio grande,-32.035,-52.0986,291.21,94,64,6.04,BR,1722896097
92,raja,8.4596,25.678,294.55,93,93,1.55,SS,1722896551
93,abdurahmoni jomi,37.9464,68.8088,298.31,41,20,2.0,TJ,1722896553
94,isafjordur,66.0755,-23.124,279.89,96,100,10.33,IS,1722896554
95,lansdowne,39.9382,-75.2719,306.23,57,40,6.17,US,1722896555
96,albany,42.6001,-73.9662,301.8,69,81,3.7,US,1722896556
97,zaraza,9.3503,-65.3245,297.43,96,100,2.77,VE,1722896557
98,vila franca do campo,37.7167,-25.4333,297.38,89,39,2.41,PT,1722896558
99,queenstown,-31.8976,26.8753,280.47,28,0,2.08,ZA,1722896559
100,kavieng,-2.5744,150.7967,301.17,77,100,5.19,PG,1722896560
101,west island,-12.1568,96.8225,298.14,78,23,4.63,CC,1722896354
102,nemuro,43.3236,145.575,290.37,98,86,2.61,JP,1722896562
103,riorges,46.0418,4.0497,292.05,81,22,1.25,FR,1722896563
104,ilulissat,69.2167,-51.1,282.16,76,20,2.06,GL,1722896564
105,tabuk,17.4189,121.4443,296.29,92,92,1.16,PH,1722896565
106,palmas,-10.2128,-48.3603,302.08,32,0,2.06,BR,1722896566
107,arua,3.0201,30.9111,290.53,91,98,2.15,UG,1722896567
108,paraparaumu,-40.9167,175.0167,282.18,86,100,3.54,NZ,1722896568
109,fale old settlement,-9.3852,-171.2468,300.97,76,100,5.02,TK,1722896569
110,saint-joseph,-21.3667,55.6167,291.36,76,15,3.17,RE,1722896571
111,kailua-kona,19.6406,-155.9956,302.13,72,40,4.12,US,1722896572
